ano_captacao,cota,linha,cnpj_patrocinador,valor_captado,recebimento,recebimento_herdado,data_antes_do_ano
2026,1,69,03.845.717/0019-51,130000.0,2026-01-15 18:14:00,False,False
2026,1,72,03.845.717/0034-90,60000.0,2026-01-15 18:14:00,False,False
2026,1,75,03.845.717/0047-05,15000.0,2026-01-15 18:14:00,False,False
2026,1,78,28.152.650/0001-71,489267.0,2026-01-28 17:24:00,False,False
2026,1,82,28.152.650/0001-71,494060.0,2026-01-28 17:32:00,False,False
2026,1,89,28.152.650/0001-71,500000.0,2026-01-29 06:50:00,False,False
2026,1,97,00.827.783/0021-25,499781.0,2026-01-29 13:09:00,False,False
2026,1,103,39.786.983/0001-79,250000.0,2026-01-14 18:36:00,False,False
2026,1,108,03.845.717/0001-22,250000.0,2026-02-05 20:42:00,False,False
2026,1,113,10.524.837/0001-93,445370.47,2026-02-04 10:20:00,False,False
2026,1,120,34.307.295/0001-65,500000.0,2026-02-05 16:21:00,False,False
2026,1,126,28.152.650/0001-71,500000.0,2026-02-08 12:42:00,False,False
2026,1,132,27.494.152/0007-30,499913.88,2026-02-10 13:10:00,False,False
2026,1,138,34.307.295/0001-65,500000.0,2026-02-10 16:15:00,False,False
2026,1,143,06.955.576/0008-65,499223.2,2026-02-19 10:57:00,False,False
2026,1,148,27.990.092/0005-84,214096.7,2026-02-23 22:21:00,False,False
2026,1,155,08.625.038/0001-61,500000.0,2026-02-26 21:26:00,False,False
