projeto,proponente,valor_autorizado,valor_captado,patrocinador,fonte_url,fonte_pagina,linha_arquivo,titulo_norm,id_captado,chave_proponente,casamento,numero_processo,processos_candidatos,ciclos_habilitacao,ciclo_habilitacao_min,numero_processo_secundario,ciclo_habilitacao_min_secundario
Compondo na Rua,W/PAR & ASSOCIADOS LTDA,396394.83,396394.83,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,49,compondo na rua,C25-48,wpar associados,casado,2023-LC19F,,2024,2024.0,,
"ENCANTANDO PESSOAS, CELEBRANDO A NATUREZA",PORTO E STEIN PRODUÇÕES LTDA-ME,316411.12,316411.12,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,50,encantando pessoas celebrando a natureza,C25-49,porto e stein producoes,casado,2022-HH970,,2023,2023.0,,
Laboratório dos Sonhos,Associação Aprender Cultura,491301.52,441301.51,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,51,laboratorio dos sonhos,C25-50,associacao aprender cultura,ambiguo,,2024-L44FD;2025-R38F3,,,,
ENCONTRO DE CULTURAS POPULARES E TRADICIONAIS,ASSOCIAÇÃO ARTISTICA E FOLCLORICA AFRO BRASILEIRA,365748.0,365748.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,52,encontro de culturas populares e tradicionais,C25-51,associacao artistica e folclorica afro brasileira,casado,2023-1PRSJ,,2023,2023.0,,
2º FESTIVAL NACIONAL DE CAPOEIRA,LR PRODUÇÕES,281690.0,281690.0,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,53,2o festival nacional de capoeira,C25-52,lr producoes,casado,2024-0GZ3G,,2024,2024.0,,
Quintal do CSE: Intervenções Socioespaciais Identitárias,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,485087.7,250000.0,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,54,quintal do cse intervencoes socioespaciais identitarias,C25-53,cidade quintal servicos de design e arte urbana,casado,2023-WQW4G,,2023,2023.0,,
Tecer Folias,Associação Oficina da Vida - ONG,457000.0,457000.0,EV Comércio de Veículos LTDA; Kurumá Veiculos S.A; VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,55,tecer folias,C25-54,associacao oficina da vida ong,casado,2023-D2859,,2024,2024.0,,
Orquestra de Câmara Infanto-juvenil João XXIII,Instituto João XXIII,297210.57,297210.57,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,56,orquestra de camara infanto juvenil joao xxiii,C25-55,instituto joao xxiii,casado,2023-CV6RH,,2024,2024.0,,
A Escola vai ao Teatro Tratamento Técnico do Acervo Gráfico,SER OFICINA DE TEATRO LTDA/ME,136375.69,136375.69,Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,57,a escola vai ao teatro tratamento tecnico do acervo grafico,C25-56,ser oficina de teatro,sem_correspondencia,,,,,,
"Editorial do Jornal Correio Popular de Cariacica/ES: Inventário, Conservação e Digitalização.",Instituto de Pesquisa e Documentação Cariaciquense,499855.55,499855.55,EV Comércio de Veículos LTDA; VD Comercio de Veiculos LTDA; Kurumá Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,58,editorial do jornal correio popular de cariacica es inventario conservacao e digitalizacao,C25-57,instituto de pesquisa e documentacao cariaciquense,sem_correspondencia,,,,,,
Festival Batidas do Mundo,Caju Produções LTDA ME,494000.0,494000.0,VD Comercio de Veiculos LTDA; Kuruma Veiculos S.A DECOLORES; MÁRMORES E GRANITOS DO BRASIL S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,59,festival batidas do mundo,C25-58,caju producoes,casado,2023-BL62F,,2024,2024.0,,
Teatro vai à escola - De onde vem o dinheiro?,WB PRODUCOES ARTISTICAS E CULTURAIS LTDA,397364.0,200000.0,VD Comercio de Veiculos LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,60,teatro vai a escola de onde vem o dinheiro,C25-59,wb producoes artisticas e culturais,casado,2024-0QFT9,,2024,2024.0,,
Ecos Culturais do Convento,Instituto Brasileiro de Apoio ao Desenvolvimento Social e Econômico,480000.0,480000.0,VD Comercio de Veiculos LTDA; Kuruma Veiculos S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,61,ecos culturais do convento,C25-60,instituto brasileiro de apoio ao desenvolvimento social e economico,casado,2023-TQ8C9,,2024,2024.0,,
Mar Adentro,W/PAR & ASSOCIADOS LTDA,483748.28,20000.0,ELIT DISTRIBUIDORA DE TINTAS E REVESTIMENTOS LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,4,62,mar adentro,C25-61,wpar associados,casado,2023-ZZB43,,2024,2024.0,,
Samba que Eu Quero Ver - Mostra Cultural de Bamba,Odoya Arte e Cultura Produções LTDA,500000.0,500000.0,Realmar Distribuidora Ltda; Realmar Distribuidora Ltda; Realmar Distribuidora Ltda; Realmar Distribuidora Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,5,63,samba que eu quero ver mostra cultural de bamba,C25-62,odoya arte e cultura producoes,ambiguo,,2023-GJ366;2024-XDJHX,,,,
FESTIVAL RAÍZES DO SAMBA,INSTITUTO RAIZES,499999.84,228914.45,Realmar Distribuidora Ltda; Realmar Distribuidora Ltda,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,5,64,festival raizes do samba,C25-63,instituto raizes,casado,2023-R7GC8,,2024,2024.0,,
