ordem_doc,ciclo,numero_processo,ano_protocolo,projeto,titulo_norm,proponente,chave_proponente,valor_autorizado,valor_total,valor_autorizado_bruto,valor_total_bruto,flag_valor_suspeito,status,enquadramento,municipio_fonte,municipio_reparado,municipios_es,cod_ibge_lista,n_municipios_es,locais_fora_es,locais_nao_resolvidos,municipio_ausente_na_fonte,tipo_local,municipio_valor,cod_ibge_valor,flag_municipio_incerto,nota_municipio,fonte_url,fonte_pagina,linha_arquivo
40,2026,2025-L2ZQD,2025,Espírito Geek - 2ª Edição,espirito geek 2a edicao,Alpha Empreendimentos LTDA ME.,alpha empreendimentos,492216.0,492216.0,492216.0,492216.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,42
41,2026,2025-FFQ31,2025,Festival do Beijú – 8ª Edição,festival do beiju 8a edicao,Associação De Mulheres Agricultoras De Conceição Do Muqui.,associacao de mulheres agricultoras de conceicao do muqui,296509.07,296509.07,296509.07,296509.07,False,captando,cota-fora-rmgv,Mimoso do Sul,Mimoso do Sul,Mimoso do Sul,3203403,1,,,False,um_municipio,Mimoso do Sul,3203403.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,43
42,2026,2025-00C1Z,2025,Tornando Ideias Realidade — 2º ano,tornando ideias realidade 2o ano,Alpha Empreendimentos Ltda Me.,alpha empreendimentos,479685.0,479685.0,479685.0,479685.0,False,captando,cota-fora-rmgv,São Mateus,São Mateus,São Mateus,3204906,1,,,False,um_municipio,São Mateus,3204906.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,44
43,2026,2025-DCRC9,2025,Ecologicamente Divertido - Cultura e Afeto para Crianças,ecologicamente divertido cultura e afeto para criancas,Associação Beneficente Renascer Em Cristo - ABREC.,associacao beneficente renascer em cristo abrec,219480.71,219480.71,219480.71,219480.71,False,captando,cota-demais,Serra,Serra,Serra,3205002,1,,,False,um_municipio,Serra,3205002.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,45
44,2026,2025-8JPM7,2025,Viagem Literária,viagem literaria,Mb Produção Cultural.,mb producao cultural,161247.57,162677.57,161247.57,162677.57,False,captando,cota-demais,Cariacica; Vitória; Castelo; Cachoeiro Itapemirim; Ibatiba; Linhares,Cariacica; Vitória; Castelo; Cachoeiro Itapemirim; Ibatiba; Linhares,Cachoeiro de Itapemirim; Cariacica; Linhares; Castelo; Ibatiba; Vitória,3201209;3201308;3203205;3201407;3202454;3205309,6,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,3,46
45,2026,2025-J6GZF,2025,Festival Delírio Tropical 2026,festival delirio tropical 2026,Puri Produções e Eventos LTDA.,puri producoes e eventos,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,47
46,2026,2025-XBV4P,2025,Natal dos Reis Magos - Concerto de Música e Magia,natal dos reis magos concerto de musica e magia,Premium Comunicação E Marketing Ltda.,premium comunicacao e marketing,299984.0,299984.0,299984.0,299984.0,False,captando,cota-demais,Serra,Serra,Serra,3205002,1,,,False,um_municipio,Serra,3205002.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,48
47,2026,2025-2M4DV,2025,2ª edição - Festival Batidas do Mundo,2a edicao festival batidas do mundo,Caju Produções LTDA ME.,caju producoes,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,49
48,2026,2025-FH60M,2025,Casa Decola,casa decola,Associação de Inovação do Núcleo Cultural Colatinense.,associacao de inovacao do nucleo cultural colatinense,500000.0,500000.0,500000.0,500000.0,False,captando,cota-pautados,Colatina,Colatina,Colatina,3201506,1,,,False,um_municipio,Colatina,3201506.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,50
49,2026,2025-4T6CX,2025,"""Hq Tupi: A Lenda De Arariboia”",hq tupi a lenda de arariboia,Mito Games Ltda,mito games,499593.24,499593.24,499593.24,499593.24,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,51
50,2026,2025-VRWDM,2025,Crias.Lab 2026,crias lab 2026,Puri Produções e Eventos LTDA,puri producoes e eventos,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,52
51,2026,2025-BNHCX,2025,Flinc Festa Literária Internacional Capixaba,flinc festa literaria internacional capixaba,Letra Preta Produções LTDA.,letra preta producoes,494496.85,3311128.03,494496.85,3311128.03,False,captando,cota-demais,a definir,a definir,,,0,,a definir (local a definir),False,so_locais_nao_municipais,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,4,53
