# Fonte: IBGE, Sistema de Informacoes e Indicadores Culturais (SIIC), API servicodados.ibge.gov.br/api/v1/pesquisas/10092, consulta 2026-09-23. valor = valor_publicado x multiplicador dos metadados. Script: analise/03b_ibge_cultura_es.py
indicador_id,indicador,descricao_ibge,unidade,multiplicador,localidade,ano,valor_publicado,valor
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SC,2021,87402.0,87402.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SE,2007,6031.0,6031.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SE,2009,6335.0,6335.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SE,2011,7679.0,7679.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SE,2017,7543.0,7543.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SE,2019,8479.0,8479.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SE,2021,8395.0,8395.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SP,2007,499589.0,499589.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SP,2009,559303.0,559303.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SP,2011,628179.0,628179.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SP,2017,554651.0,554651.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SP,2019,585325.0,585325.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,SP,2021,607217.0,607217.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,TO,2007,2513.0,2513.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,TO,2009,2713.0,2713.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,TO,2011,3097.0,3097.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,TO,2017,3600.0,3600.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,TO,2019,3895.0,3895.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,TO,2021,4495.0,4495.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2014,306.0,306000.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2015,309.0,309000.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2016,293.0,293000.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2017,286.0,286000.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2018,308.0,308000.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2019,292.0,292000.0
82731,ocupados_14mais_pnadc,Pesquisa Nacional por Amostra de Domicílios Contínua  > Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,pessoas,1000,AC,2020,267.0,267000.0
