doi,crossref_status,openalex_status,titulo,ano,periodico,volume,numero,paginas,autores,tem_resumo
10.1093/wbro/lky010,200,200,External Validity and Policy Adaptation: From Impact Evaluation to Policy Design,2019,The World Bank Research Observer,35,2,158-191,Williams,True
10.1108/JSMA-04-2018-0029,200,200,Possible key factors for Brazilian publicly traded companies to adopt a sponsorship strategy,2019,Journal of Strategy and Management,12,4,429-446,de Alcântara; de Benedicto; da Silva,True
10.1108/INMR-11-2020-0167,200,200,Impact assessment of innovation tax incentives in Brazil,2021,Innovation &amp; Management Review,20,1,28-42,Colombo; Cruz,True
10.4025/jphyseduc.v28i1.2834,200,200,"PERFORMANCE SPORT, TAX WAIVER AND SPORTS INCENTIVE LAW",2017,Journal of Physical Education,28,1,,Santos; Juchem; Maduro,True
10.1590/0104-530X3832-20,200,200,Effects of the use of fiscal policy of incentive to innovation in performance of brazilian companies,2020,Gestão &amp; Produção,27,1,,Kaveski; Lopes; Beuren,True
10.5102/RBPP.V11I3.7484,200,200,A política de inovação como instrumento de redução das desigualdades regionais no Brasil,2022,Revista Brasileira de Políticas Públicas,11,3,,Memória; Caminha,True
10.1080/10286632.2017.1420791,200,200,The institutionalization of Brazilian cultural policies after the military dictatorship (1985–2016),2018,International Journal of Cultural Policy,26,1,1-15,Pontes de Araujo; Villarroya,True
10.1080/10286632.2018.1514031,200,200,Brazilian cultural policies during the workers’ party governments: challenges for the development of cultural citizenship,2018,International Journal of Cultural Policy,24,5,611-627,Rubim; Rocha,True
10.1590/S0102-69922014000100011,200,200,As políticas culturais brasileiras na contemporaneidade: mudanças institucionais e modelos de agenciamento,2014,Sociedade e Estado,29,1,199-224,Silva,True
10.5216/sec.v25.73441,200,200,Economia popular e políticas culturais no Brasil,2023,Sociedade e Cultura,25,,,Dias; Espírito Santo,True
10.1080/17510694.2017.1318255,200,200,"Stuck in the middle of nowhere: cultural policy, development and creative industries in Brazil",2017,Creative Industries Journal,10,2,139-154,Santos Vieira de Jesus; Kamlot,True
10.1111/blar.12637,200,200,"Cultura <scp>V</scp>iva, a Challenge to the Creative Economy Policy Discourse in <scp>B</scp>razil",2017,Bulletin of Latin American Research,36,4,424-439,SEOANE,True
10.15448/1980-864X.2022.1.41746,200,200,Política cultural como instância do desenvolvimento social e do interesse comum no Brasil,2022,Estudos Ibero-Americanos,48,1,e41746,Gomes; Zanetti,True
10.17808/des.0.1438,200,200,Democracia e sistema de proteção do patrimônio cultural no Brasil,2020,"Revista Direito, Estado e Sociedade",,,,Ovenhausen Albernaz,True
10.7213/rev.dir.econ.soc.v12i3.28653,200,200,Monitoring and evaluation of public policies in Brazil: conceptual approach and trajectory of legal and institutional development,2021,Revista de Direito Econômico e Socioambiental,12,2,340-371,Bonifácio; Motta,True
10.22347/2175-2753v13i40.3480,200,200,Avaliação da Implementação de Políticas e Programas Públicos no Brasil: uma discussão das dimensões analíticas,2021,Revista Meta: Avaliação,13,40,674,LIMA; Mendes,True
10.1590/1807-01912018243622,200,200,"Dispersão decisória, centralidade política e entropia burocrática: mitigando custos transacionais na gestão públic",2018,Opinião Pública,24,3,622-669,Vaz,True
10.1080/17510694.2023.2203397,200,200,The economic contribution of the cultural sector in Brazil: an input–output approach with different income groups,2023,Creative Industries Journal,18,2,224-247,Pereira; Amaral e Silva; Brito,True
10.1080/09548963.2026.2616230,200,200,Cultural policies for urban peripheries: notes from São Paulo’s experiences,2026,Cultural Trends,35,2-3,185-202,Lopes; Sena,True
10.1590/0034-7612156363,200,200,Evaluation of public policies in Brazil and the United States: a research analysis in the last 10 years,2016,Revista de Administração Pública,50,6,981-1001,Crumpton; Medeiros; Ferreira; Sousa; Najberg,True
10.1257/aer.103.5.1797,200,200,Does Disability Insurance Receipt Discourage Work? Using Examiner Assignment to Estimate Causal Effects of SSDI Receipt,2013,American Economic Review,103,5,1797-1829,Maestas; Mullen; Strand,True
10.1257/aer.20161503,200,200,"The Effects of Pre-Trial Detention on Conviction, Future Crime, and Employment: Evidence from Randomly Assigned Judges",2018,American Economic Review,108,2,201-240,Dobbie; Goldin; Yang,True
10.1257/aer.20201860,200,200,Judging Judge Fixed Effects,2023,American Economic Review,113,1,253-277,Frandsen; Lefgren; Leslie,True
10.1016/j.jpubeco.2011.05.005,200,200,The impact of research grant funding on scientific productivity,2011,Journal of Public Economics,95,9-10,1168-1177,Jacob; Lefgren,False
10.1257/app.20150421,200,200,Expertise versus Bias in Evaluation: Evidence from the NIH,2017,American Economic Journal: Applied Economics,9,2,60-92,Li,True
10.1146/annurev-resource-121517-033306,200,200,Regression Discontinuity in Time: Considerations for Empirical Applications,2018,Annual Review of Resource Economics,10,1,533-552,Hausman; Rapson,True
10.1198/jasa.2009.ap08746,200,200,Synthetic Control Methods for Comparative Case Studies: Estimating the Effect of California’s Tobacco Control Program,2010,Journal of the American Statistical Association,105,490,493-505,Abadie; Diamond; Hainmueller,True
10.1257/jel.20191450,200,200,"Using Synthetic Controls: Feasibility, Data Requirements, and Methodological Aspects",2021,Journal of Economic Literature,59,2,391-425,Abadie,True
10.1016/j.jeconom.2020.12.001,200,200,Difference-in-Differences with multiple time periods,2021,Journal of Econometrics,225,2,200-230,Callaway; Sant’Anna,False
10.1016/0047-2727(86)90024-1,200,200,On the private provision of public goods,1986,Journal of Public Economics,29,1,25-49,Bergstrom; Blume; Varian,False
