id,url,status,content_type,bytes,sha256,coletado_utc,arquivo
doi:10.1257/aer.20190159,https://api.crossref.org/works/10.1257/aer.20190159,200,application/json,3034,ff9c24944fe8e2e0984026e6a76d74a449fb32d4309ed851154fc8b91030c7b7,2026-09-24T00:27:21Z,dados/fontes_web/doi/10.1257_aer.20190159.json
doi:10.1257/jel.20191450,https://api.crossref.org/works/10.1257/jel.20191450,200,application/json,2757,47dcc7e1fe1773bf151f70931e6204c236df28bb0f4a2868bc71583f4f6bb49e,2026-09-24T00:27:22Z,dados/fontes_web/doi/10.1257_jel.20191450.json
doi:10.1257/jel.47.1.5,https://api.crossref.org/works/10.1257/jel.47.1.5,200,application/json,3110,d474a7e057c5446b0af75f4634ba8bd306408840d27eb0fadbaa8d0a1f947f39,2026-09-24T00:27:22Z,dados/fontes_web/doi/10.1257_jel.47.1.5.json
doi:10.1257/jel.48.2.281,https://api.crossref.org/works/10.1257/jel.48.2.281,200,application/json,2520,ef23918f1315aae3449d10cc63db1c987605bd7ca42a93d699af7a335d643d00,2026-09-24T00:27:23Z,dados/fontes_web/doi/10.1257_jel.48.2.281.json
doi:10.1257/jep.31.2.3,https://api.crossref.org/works/10.1257/jep.31.2.3,200,application/json,3314,7d7198f9058aea96a0da2ad5b662e8ed0715e670438168779eb408dec8e1554b,2026-09-24T00:27:24Z,dados/fontes_web/doi/10.1257_jep.31.2.3.json
doi:10.1287/mnsc.2023.4928,https://api.crossref.org/works/10.1287/mnsc.2023.4928,200,application/json,5126,c6c09d589198ef5ce1341bf7548ed41330898b399c399efc4fa6c644bf2c925b,2026-09-24T00:27:25Z,dados/fontes_web/doi/10.1287_mnsc.2023.4928.json
doi:10.1332/251569119X15675896589688,https://api.crossref.org/works/10.1332/251569119X15675896589688,200,application/json,3921,31d507eb1d70a74c39c825690c53a45aa8b8624c73a558b29deef5c2ef986030,2026-09-24T00:27:26Z,dados/fontes_web/doi/10.1332_251569119x15675896589688.json
doi:10.1348/000711010X502733,https://api.crossref.org/works/10.1348/000711010X502733,200,application/json,2845,3058f55362017435ed45eef0bb3f0ed10f416c7b4f215a16540581597d302e3e,2026-09-24T00:27:26Z,dados/fontes_web/doi/10.1348_000711010x502733.json
doi:10.1371/journal.pone.0132590,https://api.crossref.org/works/10.1371/journal.pone.0132590,200,application/json,4417,2f46d765a92ddd5f2dc117d6bf8809b1afc4ee110a4022ca108ef2640adc872c,2026-09-24T00:27:27Z,dados/fontes_web/doi/10.1371_journal.pone.0132590.json
doi:10.15210/norus.v1i1.2761,https://api.crossref.org/works/10.15210/norus.v1i1.2761,404,application/json,2088,ba6149f36aae75582aba3b079946e7b905af82e06ad1ca3696d770810d474dcb,2026-09-24T00:47:04Z,dados/fontes_web/doi/10.15210_norus.v1i1.2761.json
doi:10.1590/0034-7612162254,https://api.crossref.org/works/10.1590/0034-7612162254,200,application/json,3483,68d9889a7176836f9af1fbcb816cc5a4d3386bc0b7cdb0f4fae71990be48dfa6,2026-09-24T00:27:29Z,dados/fontes_web/doi/10.1590_0034-7612162254.json
